Time,Value,DC
1443501000,19727.47778,I
1443501360,18443.21667,I
1443501720,17871.96389,I
1443502080,17508.75,I
1443502140,17233.21468,I
1443502440,15854.30194,I
1443502800,14499.675,I
1443503160,13889.07222,I
1443503520,13959.65,I
1443503880,13146.21667,I
1443504240,12742.325,I
1443504600,12129.03889,I
1443504960,12105.82222,I
1443505320,11688.39167,I
1443505680,10991.31667,I
1443506040,10465.44167,I
1443506400,10100.45278,I
1443506760,9706.938889,I
1443507120,9807.069444,I
1443507480,9556.630556,I
1443507840,9448.583333,I
1443508200,8763.883333,I
1443508560,8664.619444,I
1443508920,7911.533333,I
1443509280,7721.391667,I
1443509640,7554.458333,I
1443510000,7281.063889,I
1443510360,6901.819444,I
1443510720,6899.2,I
1443511080,6868.358333,I
1443511440,6563.697222,I
1443511800,6419.041667,I
1443512160,6288.952778,I
1443512520,6103.808333,I
1443512880,6035.083333,I
1443513240,5920.644444,I
1443513600,5785.591667,I
1443513960,5686.780556,I
1443514320,5914.069444,I
1443514680,6152.122222,I
1443515040,6065.222222,I
1443515400,5975.783333,I
1443515760,5999.238889,I
1443516120,5965.911111,I
1443516480,5988.444444,I
1443516840,6347.627778,I
1443517200,6199.722222,I
1443517560,6428.463889,I
1443517920,6593.247222,I
1443518280,6955.986111,I
1443518640,7399.213889,I
1443519000,7813.277778,I
1443519360,7805.326389,I
1443519720,8625.905556,I
1443520080,8620.055556,I
1443520440,9054.225,I
1443520800,9328.816667,I
1443521160,9754.566667,I
1443521520,9710.177778,I
1443521880,10654.91111,I
1443522240,11505.13333,I
1443522600,11624.40278,I
1443522960,12550.38889,I
1443523320,12990.21667,I
1443523680,13832.33611,I
1443524040,15059.75833,I
1443524400,15787.75833,I
1443524760,16022.39167,I
1443525120,16582.08889,I
1443525480,17465.94722,I
1443525840,18585.26667,I
1443526200,19512.43056,I
1443526560,18825.54722,I
1443526920,20813.39444,I
1443527280,21485.90556,I
1443527640,22513.03333,I
1443528000,23746.23333,I
1443528360,23924.86944,I
1443528720,24422.02222,I
1443529080,26567.46667,I
1443529440,27883.63889,I
1443529800,27996.88611,I
1443530160,28030.93611,I
1443530520,29344.38889,I
1443530880,30884.41944,I
1443531240,30565.3,I
1443531600,31242.64167,I
1443531960,32149.87778,I
1443532320,34728.51389,I
